dice,count_pred,count_gt,count_error,mean_pred_area,mean_gt_area,mean_area_error,image_id
0.6199871196802146,460,480,20,601.4608695652174,832.7770833333333,231.31621376811586,TCGA-18-5592-01Z-00-DX1.png
0.7173483936997381,561,757,196,653.807486631016,474.3025099075297,179.50497672348627,TCGA-21-5784-01Z-00-DX1.png
0.5528927273871219,415,440,25,464.1590361445783,698.7363636363636,234.57732749178535,TCGA-21-5786-01Z-00-DX1.png
0.4773286366577272,426,424,2,525.4929577464789,471.3419811320755,54.15097661440336,TCGA-38-6178-01Z-00-DX1.png
0.6048497379090962,491,557,66,599.6639511201629,593.1561938958707,6.507757224292163,TCGA-49-4488-01Z-00-DX1.png
0.49918492421873284,473,444,29,463.4989429175476,891.7004504504505,428.2015075329029,TCGA-50-5931-01Z-00-DX1.png
0.6524471480530118,616,742,126,518.2191558441558,318.0943396226415,200.12481622151432,TCGA-A7-A13E-01Z-00-DX1.png
0.5947419424138501,340,356,16,541.1294117647059,457.44943820224717,83.67997356245871,TCGA-A7-A13F-01Z-00-DX1.png
0.5796454239849334,471,432,39,477.6348195329087,477.3888888888889,0.24593064401977927,TCGA-AR-A1AK-01Z-00-DX1.png
0.7211606783497755,452,405,47,599.816371681416,654.8444444444444,55.02807276302849,TCGA-AR-A1AS-01Z-00-DX1.png
0.5777137665923177,748,1309,561,434.346256684492,254.69747899159663,179.64877769289538,TCGA-AY-A8YK-01A-01-TS1.png
0.6358601797733983,717,1078,361,520.6192468619247,348.2040816326531,172.41516522927162,TCGA-B0-5698-01Z-00-DX1.png
0.6010560381339616,825,1361,536,425.8606060606061,243.30859662013225,182.55200944047382,TCGA-B0-5710-01Z-00-DX1.png
0.6177067371354215,715,1207,492,430.586013986014,237.73322286661144,192.85279111940255,TCGA-B0-5711-01Z-00-DX1.png
0.6482680244217445,599,720,121,476.43906510851417,439.0541666666667,37.3848984418475,TCGA-CH-5767-01Z-00-DX1.png
0.6684866828765994,319,342,23,821.3103448275862,715.7894736842105,105.52087114337564,TCGA-DK-A2I6-01A-01-TS1.png
0.4760532076511248,390,378,12,440.84871794871793,497.7010582010582,56.85234025234024,TCGA-E2-A14V-01Z-00-DX1.png
0.5175547479264913,311,328,17,516.1639871382637,349.969512195122,166.1944749431417,TCGA-E2-A1B5-01Z-00-DX1.png
0.5136011162645355,392,401,9,505.1198979591837,305.97506234413964,199.14483561504403,TCGA-G2-A2EK-01A-02-TSB.png
0.4070888279422684,463,448,15,454.1274298056156,697.5491071428571,243.42167733724153,TCGA-G9-6336-01Z-00-DX1.png
0.49375529718971356,387,390,3,480.59948320413434,512.2461538461539,31.646670642019558,TCGA-G9-6348-01Z-00-DX1.png
0.6552609163845213,461,442,19,515.0216919739696,411.18099547511315,103.84069649885646,TCGA-G9-6356-01Z-00-DX1.png
0.5586231228773539,513,472,41,490.0272904483431,523.6588983050848,33.63160785674171,TCGA-G9-6362-01Z-00-DX1.png
0.42883962792784425,406,354,52,423.88916256157637,623.0819209039548,199.19275834237845,TCGA-G9-6363-01Z-00-DX1.png
0.4527055369867605,640,1073,433,301.1078125,107.61323392357875,193.49457857642128,TCGA-HE-7128-01Z-00-DX1.png
0.39064091926390765,563,1584,1021,479.03197158081707,123.01957070707071,356.01240087374634,TCGA-HE-7129-01Z-00-DX1.png
0.47035566573435067,700,1862,1162,436.94142857142856,156.3796992481203,280.56172932330827,TCGA-HE-7130-01Z-00-DX1.png
0.5978590906938198,700,1391,691,509.6842857142857,261.4291876347951,248.2550980794906,TCGA-KB-A93J-01A-01-TS1.png
0.5595571973077196,410,363,47,577.8487804878049,801.8760330578513,224.02725257004636,TCGA-NH-A8F7-01A-01-TS1.png
0.6116471325504729,675,1165,490,517.1881481481481,274.4334763948498,242.75467175329834,TCGA-RD-A8N9-01A-01-TS1.png
